0:02:55.42,0:02:56.53,「非常抱歉」,申し訳ない
0:02:57.96,0:03:01.07,「我以为学生就该穿这种泳衣」,学生は皆　この姿だと思っていた
0:03:01.07,0:03:03.54,「让各位蒙羞了」,皆様恥をかかせる結果に
0:03:13.80,0:03:16.30,「为何你的泪水如此清澈」,な…　なんと清らかな涙
0:04:18.94,0:04:21.87,「水战绝非本人所长」,我は水中での戦闘に特化しておらぬ
0:04:22.22,0:04:24.27,「惟愿共同作壁上观」,そなたとの傍観を所望する
0:04:50.00,0:04:51.97,「小生也是一头雾水」,小生にもわかりませぬ
0:04:51.97,0:04:55.28,「只知道这大概就是身不由己吧」,ただ抗えぬ運命であることだけは理解した
0:07:42.49,0:07:43.61,「救救我」,お助けあれ
0:07:44.21,0:07:45.35,「救救我」,お助けあれ
0:07:45.82,0:07:47.10,「救救我」,お助けあれ
0:07:47.70,0:07:48.83,「救救我」,お助けあれ
0:07:49.57,0:07:50.56,「救救我」,お助けあれ
0:07:51.19,0:07:52.28,「救救我」,お助けあれ
0:15:34.80,0:15:36.02,「救救我」,お助けあれ
0:15:36.58,0:15:37.70,「救救我」,お助けあれ
0:15:38.30,0:15:39.38,「救救我」,お助けあれ
0:15:40.07,0:15:41.18,「救救我」,お助けあれ
0:15:41.80,0:15:42.91,「救救我」,お助けあれ
0:15:43.38,0:15:44.69,「救救我」,お助けあれ
0:15:45.28,0:15:45.80,「救…」,お助…
